Protein Group,Protein ID,Accession,Significance,-10lgP,Intensity Sample 1 : TMT10-126,Intensity Sample 2 : TMT10-126,Intensity Sample 3 : TMT10-126,Intensity Sample 1 : TMT10-127N,Intensity Sample 2 : TMT10-127N,Intensity Sample 3 : TMT10-127N,Intensity Sample 1 : TMT10-127C,Intensity Sample 2 : TMT10-127C,Intensity Sample 3 : TMT10-127C,Intensity Sample 1 : TMT10-128C,Intensity Sample 2 : TMT10-128C,Intensity Sample 3 : TMT10-128C,Intensity Sample 1 : TMT10-129C,Intensity Sample 2 : TMT10-129C,Intensity Sample 3 : TMT10-129C,Intensity Sample 1 : TMT10-130C,Intensity Sample 2 : TMT10-130C,Intensity Sample 3 : TMT10-130C,Intensity Sample 1 : TMT10-131,Intensity Sample 2 : TMT10-131,Intensity Sample 3 : TMT10-131,Ratio Sample 1 : TMT10-126,Ratio Sample 2 : TMT10-126,Ratio Sample 3 : TMT10-126,Ratio Sample 1 : TMT10-127N,Ratio Sample 2 : TMT10-127N,Ratio Sample 3 : TMT10-127N,Ratio Sample 1 : TMT10-127C,Ratio Sample 2 : TMT10-127C,Ratio Sample 3 : TMT10-127C,Ratio Sample 1 : TMT10-128C,Ratio Sample 2 : TMT10-128C,Ratio Sample 3 : TMT10-128C,Ratio Sample 1 : TMT10-129C,Ratio Sample 2 : TMT10-129C,Ratio Sample 3 : TMT10-129C,Ratio Sample 1 : TMT10-130C,Ratio Sample 2 : TMT10-130C,Ratio Sample 3 : TMT10-130C,Ratio Sample 1 : TMT10-131,Ratio Sample 2 : TMT10-131,Ratio Sample 3 : TMT10-131,Intensity Group 1(Sample 1 : TMT10-126; Sample 2 : TMT10-126; Sample 3 : TMT10-126),Intensity Group 2(Sample 1 : TMT10-127N; Sample 2 : TMT10-127N; Sample 3 : TMT10-127N),Intensity Group 3(Sample 1 : TMT10-127C; Sample 2 : TMT10-127C; Sample 3 : TMT10-127C),Intensity Group 4(Sample 1 : TMT10-128C; Sample 2 : TMT10-128C; Sample 3 : TMT10-128C),Intensity Group 5(Sample 1 : TMT10-129C; Sample 2 : TMT10-129C; Sample 3 : TMT10-129C),Intensity Group 6(Sample 1 : TMT10-130C; Sample 2 : TMT10-130C; Sample 3 : TMT10-130C),Intensity Group 7(Sample 1 : TMT10-131; Sample 2 : TMT10-131; Sample 3 : TMT10-131),Ratio Group 1(Sample 1 : TMT10-126; Sample 2 : TMT10-126; Sample 3 : TMT10-126),Ratio Group 2(Sample 1 : TMT10-127N; Sample 2 : TMT10-127N; Sample 3 : TMT10-127N),Ratio Group 3(Sample 1 : TMT10-127C; Sample 2 : TMT10-127C; Sample 3 : TMT10-127C),Ratio Group 4(Sample 1 : TMT10-128C; Sample 2 : TMT10-128C; Sample 3 : TMT10-128C),Ratio Group 5(Sample 1 : TMT10-129C; Sample 2 : TMT10-129C; Sample 3 : TMT10-129C),Ratio Group 6(Sample 1 : TMT10-130C; Sample 2 : TMT10-130C; Sample 3 : TMT10-130C),Ratio Group 7(Sample 1 : TMT10-131; Sample 2 : TMT10-131; Sample 3 : TMT10-131),Coverage (%),#Peptides,#Unique,PTM,Avg. Mass,Description
2879,2263,O14981,12.43,116.72,1.083E4,1.547E4,7.739E3,2.136E4,3.398E4,1.343E4,1.117E4,2.011E4,7.808E3,2.099E4,3.795E4,1.577E4,2.264E4,3.498E4,1.618E4,1.853E4,2.776E4,1.723E4,3.445E4,4.98E4,1.814E4,1.00,1.43,0.71,1.97,3.14,1.24,1.03,1.86,0.72,1.94,3.50,1.46,2.09,3.23,1.49,1.71,2.56,1.59,3.18,4.60,1.67,3.404E4,6.877E4,3.909E4,7.471E4,7.38E4,6.353E4,1.024E5,1.00,2.02,1.15,2.19,2.17,1.87,3.01,6,9,9,TMT10plex; Carbamidomethylation,206886,TATA-binding protein-associated factor 172 OS=Homo sapiens OX=9606 GN=BTAF1 PE=1 SV=2
2806,2463,Q9BXR0,4.72,116.71,2.03E4,9.57E3,4.747E4,3.769E4,2.45E4,5.606E4,3.386E4,2.424E4,7.941E4,6.393E4,4.488E4,1.146E5,4.026E4,2.67E4,7.262E4,3.374E4,2.275E4,6.678E4,7.075E4,5.117E4,9.214E4,1.00,0.47,2.34,1.86,1.21,2.76,1.67,1.19,3.91,3.15,2.21,5.65,1.98,1.32,3.58,1.66,1.12,3.29,3.49,2.52,4.54,7.734E4,1.183E5,1.375E5,2.234E5,1.396E5,1.233E5,2.141E5,1.00,1.53,1.78,2.89,1.80,1.59,2.77,24,7,7,TMT10plex; Carbamidomethylation,44048,Queuine tRNA-ribosyltransferase catalytic subunit 1 OS=Homo sapiens OX=9606 GN=QTRT1 PE=1 SV=3
1731,2695,O15212,14.52,116.68,1.548E5,1.981E5,1.209E5,2.49E5,2.957E5,1.871E5,2.453E5,3.094E5,1.82E5,3.673E5,4.549E5,2.664E5,2.494E5,3.189E5,1.838E5,2.779E5,3.739E5,1.988E5,5.455E5,5.832E5,3.426E5,1.00,1.28,0.78,1.61,1.91,1.21,1.58,2.00,1.18,2.37,2.94,1.72,1.61,2.06,1.19,1.80,2.42,1.28,3.52,3.77,2.21,4.738E5,7.318E5,7.367E5,1.089E6,7.521E5,8.506E5,1.471E6,1.00,1.54,1.55,2.30,1.59,1.80,3.11,56,9,9,TMT10plex,14583,Prefoldin subunit 6 OS=Homo sapiens OX=9606 GN=PFDN6 PE=1 SV=1
2540,2160,Q9UJV9,8.03,116.64,7.592E4,5.369E4,5.509E4,1.166E5,9.889E4,1.196E5,1.472E5,7.546E4,7.663E4,1.674E5,1.285E5,1.698E5,1.706E5,1.258E5,1.229E5,1.393E5,6.928E4,9.295E4,1.253E5,8.298E4,1.024E5,1.00,0.71,0.73,1.54,1.30,1.58,1.94,0.99,1.01,2.21,1.69,2.24,2.25,1.66,1.62,1.83,0.91,1.22,1.65,1.09,1.35,1.847E5,3.35E5,2.993E5,4.657E5,4.193E5,3.015E5,3.106E5,1.00,1.81,1.62,2.52,2.27,1.63,1.68,14,9,8,TMT10plex; Carbamidomethylation,69838,Probable ATP-dependent RNA helicase DDX41 OS=Homo sapiens OX=9606 GN=DDX41 PE=1 SV=2
2578,2013,P08047,6.31,116.55,9.138E3,2.91E4,2.893E4,2.975E4,7.316E4,1.049E5,2.5E4,6.386E4,8.058E4,3.147E4,8.129E4,1.339E5,2.353E4,5.234E4,7E4,2.872E4,5.373E4,9.96E4,1.487E4,5.289E4,4.53E4,1.00,3.18,3.17,3.26,8.01,11.48,2.74,6.99,8.82,3.44,8.89,14.65,2.57,5.73,7.66,3.14,5.88,10.90,1.63,5.79,4.96,6.717E4,2.078E5,1.694E5,2.466E5,1.459E5,1.82E5,1.131E5,1.00,3.09,2.52,3.67,2.17,2.71,1.68,22,11,11,TMT10plex; Carbamidomethylation; Deamidation (NQ),80693,Transcription factor Sp1 OS=Homo sapiens OX=9606 GN=SP1 PE=1 SV=3
1690,2595,O15145,10.90,116.52,2.157E5,3.02E5,4.141E5,4.131E5,5.53E5,6.845E5,3.919E5,5.87E5,7.86E5,5.512E5,6.953E5,9.063E5,4.055E5,6.142E5,7.271E5,4.104E5,6.367E5,8.709E5,3.021E5,4.205E5,5.141E5,1.00,1.40,1.92,1.91,2.56,3.17,1.82,2.72,3.64,2.56,3.22,4.20,1.88,2.85,3.37,1.90,2.95,4.04,1.40,1.95,2.38,9.318E5,1.651E6,1.765E6,2.153E6,1.747E6,1.918E6,1.237E6,1.00,1.77,1.89,2.31,1.87,2.06,1.33,37,8,8,TMT10plex; Carbamidomethylation,20547,Actin-related protein 2/3 complex subunit 3 OS=Homo sapiens OX=9606 GN=ARPC3 PE=1 SV=3
2111,2542,Q99471,12.11,116.52,5.747E4,6.183E4,5.725E4,1.136E5,1.111E5,1.093E5,1.107E5,1.296E5,1.207E5,1.547E5,1.601E5,1.489E5,1.126E5,1.257E5,9.871E4,1.19E5,1.291E5,1.262E5,2.066E5,1.976E5,2.168E5,1.00,1.08,1.00,1.98,1.93,1.90,1.93,2.26,2.10,2.69,2.79,2.59,1.96,2.19,1.72,2.07,2.25,2.20,3.60,3.44,3.77,1.765E5,3.341E5,3.61E5,4.636E5,3.37E5,3.744E5,6.211E5,1.00,1.89,2.04,2.63,1.91,2.12,3.52,56,10,10,TMT10plex,17328,Prefoldin subunit 5 OS=Homo sapiens OX=9606 GN=PFDN5 PE=1 SV=2
2893,2423,Q9H0S4,11.00,116.51,2.002E4,1.6E4,2.468E4,4.176E4,2.446E4,3.666E4,2.399E4,1.541E4,2.802E4,6.033E4,3.883E4,6.1E4,3.959E4,2.567E4,4.022E4,3.124E4,2.556E4,3.362E4,6.923E4,5.705E4,6.115E4,1.00,0.80,1.23,2.09,1.22,1.83,1.20,0.77,1.40,3.01,1.94,3.05,1.98,1.28,2.01,1.56,1.28,1.68,3.46,2.85,3.05,6.07E4,1.029E5,6.742E4,1.602E5,1.055E5,9.041E4,1.874E5,1.00,1.70,1.11,2.64,1.74,1.49,3.09,21,8,8,TMT10plex; Carbamidomethylation,50647,Probable ATP-dependent RNA helicase DDX47 OS=Homo sapiens OX=9606 GN=DDX47 PE=1 SV=1
3421,3638,Q96K17,10.73,116.38,4.311E3,3.445E3,2.006E3,2.294E4,9.526E3,1.014E4,5.522E3,7.237E3,4.78E3,2.138E4,1.473E4,1.252E4,1.002E4,6.822E3,3.111E3,3.498E3,8.861E3,893.654,1.987E4,1.59E4,2.024E4,1.00,0.80,0.47,5.32,2.21,2.35,1.28,1.68,1.11,4.96,3.42,2.90,2.33,1.58,0.72,0.81,2.06,0.21,4.61,3.69,4.69,9.762E3,4.261E4,1.754E4,4.863E4,1.996E4,1.325E4,5.601E4,1.00,4.36,1.80,4.98,2.04,1.36,5.74,34,8,6,TMT10plex,17271,Transcription factor BTF3 homolog 4 OS=Homo sapiens OX=9606 GN=BTF3L4 PE=1 SV=1
2676,3124,Q9H9Q2,4.34,116.38,4.562E4,1.708E4,4.074E4,6.096E4,3.749E4,1.127E5,7.541E4,2.89E4,5.633E4,8.871E4,4.568E4,1.475E5,5.678E4,3.219E4,5.85E4,8.407E4,3.266E4,8.109E4,6.198E4,3.134E4,6.367E4,1.00,0.37,0.89,1.34,0.82,2.47,1.65,0.63,1.23,1.94,1.00,3.23,1.24,0.71,1.28,1.84,0.72,1.78,1.36,0.69,1.40,1.034E5,2.111E5,1.606E5,2.819E5,1.475E5,1.978E5,1.57E5,1.00,2.04,1.55,2.73,1.43,1.91,1.52,25,7,6,TMT10plex; Carbamidomethylation; Deamidation (NQ); Oxidation (M),29622,COP9 signalosome complex subunit 7b OS=Homo sapiens OX=9606 GN=COPS7B PE=1 SV=1
1463,2192,O00422,17.08,116.36,2.703E5,6.691E5,4.627E5,7.454E5,1.209E6,1.157E6,4.846E5,7.316E5,7.379E5,9.565E5,1.463E6,1.374E6,5.048E5,7.935E5,6.707E5,5.204E5,7.573E5,7.146E5,5.886E5,1E6,8.672E5,1.00,2.48,1.71,2.76,4.47,4.28,1.79,2.71,2.73,3.54,5.41,5.08,1.87,2.94,2.48,1.92,2.80,2.64,2.18,3.70,3.21,1.402E6,3.111E6,1.954E6,3.794E6,1.969E6,1.992E6,2.456E6,1.00,2.22,1.39,2.71,1.40,1.42,1.75,56,13,13,TMT10plex; Carbamidomethylation; Deamidation (NQ),17561,Histone deacetylase complex subunit SAP18 OS=Homo sapiens OX=9606 GN=SAP18 PE=1 SV=1
2205,2643,P46976,7.25,116.35,6.337E4,4.731E4,6.386E4,8.24E4,6.753E4,8.156E4,1.621E5,8.778E4,1.61E5,1.738E5,1.282E5,1.67E5,1.144E5,8.467E4,9.907E4,1.289E5,8.729E4,1.154E5,1.288E5,9.786E4,1.082E5,1.00,0.75,1.01,1.30,1.07,1.29,2.56,1.39,2.54,2.74,2.02,2.63,1.81,1.34,1.56,2.03,1.38,1.82,2.03,1.54,1.71,1.745E5,2.315E5,4.109E5,4.69E5,2.982E5,3.316E5,3.348E5,1.00,1.33,2.35,2.69,1.71,1.90,1.92,22,8,8,TMT10plex; Carbamidomethylation,39384,Glycogenin-1 OS=Homo sapiens OX=9606 GN=GYG1 PE=1 SV=4
2769,2135,Q13315,13.68,116.33,4.927E4,1.347E4,2.209E3,9.39E4,3.229E4,4.891E3,6.113E4,2.461E4,3.933E3,1.156E5,3.443E4,6.376E3,1.036E5,3.586E4,9.385E3,5.863E4,1.693E4,2.247E3,9.513E4,3.313E4,6.243E3,1.00,0.27,0.04,1.91,0.66,0.10,1.24,0.50,0.08,2.35,0.70,0.13,2.10,0.73,0.19,1.19,0.34,0.05,1.93,0.67,0.13,6.495E4,1.311E5,8.967E4,1.564E5,1.489E5,7.781E4,1.345E5,1.00,2.02,1.38,2.41,2.29,1.20,2.07,3,9,9,TMT10plex,350687,Serine-protein kinase ATM OS=Homo sapiens OX=9606 GN=ATM PE=1 SV=4
2602,1964,Q8IXK0,4.95,116.32,4.792E4,4.225E4,4.203E4,9.748E4,9.271E4,9.549E4,8.386E4,6.549E4,7.198E4,1.612E5,1.595E5,1.652E5,6.771E4,5.596E4,6.815E4,7.397E4,5.929E4,7.022E4,8.16E4,6.925E4,7.272E4,1.00,0.88,0.88,2.03,1.93,1.99,1.75,1.37,1.50,3.36,3.33,3.45,1.41,1.17,1.42,1.54,1.24,1.47,1.70,1.45,1.52,1.322E5,2.857E5,2.213E5,4.859E5,1.918E5,2.035E5,2.236E5,1.00,2.16,1.67,3.68,1.45,1.54,1.69,12,10,10,TMT10plex; Carbamidomethylation,90713,Polyhomeotic-like protein 2 OS=Homo sapiens OX=9606 GN=PHC2 PE=1 SV=1
3126,2547,Q15208,6.08,116.29,7.681E3,1.047E4,5.631E3,1.765E4,1.993E4,1.249E4,1.513E4,1.627E4,1.127E4,2.712E4,3.276E4,2.471E4,1.963E4,1.384E4,1.299E4,1.441E4,1.399E4,1.15E4,1.764E4,1.989E4,1.597E4,1.00,1.36,0.73,2.30,2.60,1.63,1.97,2.12,1.47,3.53,4.27,3.22,2.56,1.80,1.69,1.88,1.82,1.50,2.30,2.59,2.08,2.378E4,5.008E4,4.268E4,8.459E4,4.647E4,3.99E4,5.351E4,1.00,2.11,1.79,3.56,1.95,1.68,2.25,14,8,5,TMT10plex,54190,Serine/threonine-protein kinase 38 OS=Homo sapiens OX=9606 GN=STK38 PE=1 SV=1
2330,2220,Q96KQ7,5.71,116.24,4.069E3,2.669E4,1.555E4,1.189E4,5.881E4,2.767E4,5.202E3,4.721E4,2.645E4,1.473E4,7.146E4,3.054E4,6.556E3,4.144E4,2.278E4,5.76E3,5.273E4,2.574E4,1.253E4,4.623E4,1.789E4,1.00,6.56,3.82,2.92,14.45,6.80,1.28,11.60,6.50,3.62,17.56,7.50,1.61,10.19,5.60,1.42,12.96,6.32,3.08,11.36,4.40,4.631E4,9.837E4,7.886E4,1.167E5,7.078E4,8.422E4,7.665E4,1.00,2.12,1.70,2.52,1.53,1.82,1.66,8,10,10,TMT10plex; Carbamidomethylation,132370,Histone-lysine N-methyltransferase EHMT2 OS=Homo sapiens OX=9606 GN=EHMT2 PE=1 SV=3
1779,2623,P62312,12.39,116.21,1.214E5,1.365E5,1.335E5,4.279E5,4.902E5,4.106E5,2.258E5,2.813E5,2.34E5,4.185E5,5.09E5,4.176E5,2.613E5,2.748E5,2.45E5,2.699E5,2.903E5,2.644E5,2.247E5,2.476E5,2.201E5,1.00,1.12,1.10,3.52,4.04,3.38,1.86,2.32,1.93,3.45,4.19,3.44,2.15,2.26,2.02,2.22,2.39,2.18,1.85,2.04,1.81,3.914E5,1.329E6,7.412E5,1.345E6,7.811E5,8.246E5,6.924E5,1.00,3.39,1.89,3.44,2.00,2.11,1.77,86,10,10,TMT10plex; Carbamidomethylation; Deamidation (NQ),9128,U6 snRNA-associated Sm-like protein LSm6 OS=Homo sapiens OX=9606 GN=LSM6 PE=1 SV=1
2858,2146,Q9H4Z3,4.23,116.18,3.442E4,3.27E4,2.311E4,5.839E4,4.883E4,3.509E4,4.959E4,4.864E4,2.944E4,1.096E5,8.225E4,4.937E4,4.218E4,4.544E4,3.197E4,4.338E4,4.81E4,2.784E4,5.468E4,5.348E4,2.496E4,1.00,0.95,0.67,1.70,1.42,1.02,1.44,1.41,0.86,3.18,2.39,1.43,1.23,1.32,0.93,1.26,1.40,0.81,1.59,1.55,0.73,9.023E4,1.423E5,1.277E5,2.412E5,1.196E5,1.193E5,1.331E5,1.00,1.58,1.41,2.67,1.33,1.32,1.48,16,10,10,TMT10plex; Carbamidomethylation,80670,Phosphorylated CTD-interacting factor 1 OS=Homo sapiens OX=9606 GN=PCIF1 PE=1 SV=1
2383,2009,Q8IUF8,15.61,116.03,6.061E4,4.242E4,6.159E4,6.867E4,4.818E4,6.027E4,7.185E4,5.345E4,7.583E4,1.803E5,1.231E5,1.356E5,1.007E5,6.825E4,8.529E4,1.257E5,9.066E4,1.207E5,1.08E5,7.998E4,8.566E4,1.00,0.70,1.02,1.13,0.79,0.99,1.19,0.88,1.25,2.97,2.03,2.24,1.66,1.13,1.41,2.07,1.50,1.99,1.78,1.32,1.41,1.646E5,1.771E5,2.011E5,4.39E5,2.543E5,3.37E5,2.737E5,1.00,1.08,1.22,2.67,1.54,2.05,1.66,24,11,11,TMT10plex; Phosphorylation (STY),52800,Ribosomal oxygenase 2 OS=Homo sapiens OX=9606 GN=RIOX2 PE=1 SV=1
2185,1944,Q14789,4.05,116.02,2.304E4,1.865E4,1.206E4,2.307E4,2.75E4,3.086E4,2.526E4,2.907E4,1.762E4,3.525E4,4.673E4,3.766E4,2.391E4,3.077E4,2.442E4,2.764E4,3.297E4,1.984E4,3.926E4,4.797E4,4.143E4,1.00,0.81,0.52,1.00,1.19,1.34,1.10,1.26,0.76,1.53,2.03,1.63,1.04,1.34,1.06,1.20,1.43,0.86,1.70,2.08,1.80,5.375E4,8.144E4,7.195E4,1.196E5,7.91E4,8.046E4,1.287E5,1.00,1.52,1.34,2.23,1.47,1.50,2.39,5,15,10,TMT10plex; Carbamidomethylation; Deamidation (NQ),376019,Golgin subfamily B member 1 OS=Homo sapiens OX=9606 GN=GOLGB1 PE=1 SV=2
2020,1874,Q96BP3,7.12,115.99,5.756E4,6.649E4,5.416E4,1.262E5,1.316E5,9.836E4,1.014E5,1.252E5,7.916E4,2.012E5,1.993E5,1.318E5,1.145E5,1.325E5,7.947E4,9.631E4,1.272E5,7.939E4,1.159E5,1.08E5,9.121E4,1.00,1.16,0.94,2.19,2.29,1.71,1.76,2.17,1.38,3.50,3.46,2.29,1.99,2.30,1.38,1.67,2.21,1.38,2.01,1.88,1.58,1.782E5,3.561E5,3.058E5,5.323E5,3.265E5,3.029E5,3.151E5,1.00,2.00,1.72,2.99,1.83,1.70,1.77,19,12,12,TMT10plex,73575,Peptidylprolyl isomerase domain and WD repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=PPWD1 PE=1 SV=1
2249,1899,P16284,7.27,115.98,4.866E4,6.405E4,8.385E4,7.944E4,8.331E4,1.169E5,8.011E4,9.119E4,1.234E5,9.256E4,1.131E5,1.442E5,8.427E4,1.046E5,1.412E5,1.107E5,1.39E5,1.787E5,6.329E4,8.797E4,9.889E4,1.00,1.32,1.72,1.63,1.71,2.40,1.65,1.87,2.54,1.90,2.32,2.96,1.73,2.15,2.90,2.28,2.86,3.67,1.30,1.81,2.03,1.966E5,2.797E5,2.947E5,3.498E5,3.301E5,4.285E5,2.502E5,1.00,1.42,1.50,1.78,1.68,2.18,1.27,15,11,11,TMT10plex; Carbamidomethylation,82522,Platelet endothelial cell adhesion molecule OS=Homo sapiens OX=9606 GN=PECAM1 PE=1 SV=2
2068,1966,Q15061,6.45,115.97,1.186E5,8.632E4,1.212E5,1.87E5,1.523E5,1.684E5,1.692E5,1.606E5,1.487E5,2.51E5,1.967E5,2.138E5,1.873E5,1.633E5,1.598E5,1.898E5,1.726E5,1.606E5,2.565E5,2.292E5,2.411E5,1.00,0.73,1.02,1.58,1.28,1.42,1.43,1.35,1.25,2.12,1.66,1.80,1.58,1.38,1.35,1.60,1.45,1.35,2.16,1.93,2.03,3.261E5,5.077E5,4.785E5,6.615E5,5.104E5,5.23E5,7.267E5,1.00,1.56,1.47,2.03,1.56,1.60,2.23,19,12,12,TMT10plex; Carbamidomethylation,74891,WD repeat-containing protein 43 OS=Homo sapiens OX=9606 GN=WDR43 PE=1 SV=3
2745,3753,P61960,13.33,115.97,5.388E4,3.773E4,1.285E5,9.842E4,9.122E4,1.997E5,1.026E5,9.339E4,2.463E5,1.792E5,1.488E5,3.277E5,1.141E5,1.05E5,2.531E5,1.099E5,9.923E4,2.735E5,1.137E5,1.055E5,3.128E5,1.00,0.70,2.38,1.83,1.69,3.71,1.90,1.73,4.57,3.33,2.76,6.08,2.12,1.95,4.70,2.04,1.84,5.08,2.11,1.96,5.81,2.201E5,3.893E5,4.423E5,6.556E5,4.722E5,4.826E5,5.32E5,1.00,1.77,2.01,2.98,2.15,2.19,2.42,68,6,6,TMT10plex; Deamidation (NQ); Phosphorylation (STY),9118,Ubiquitin-fold modifier 1 OS=Homo sapiens OX=9606 GN=UFM1 PE=1 SV=1
2598,2672,P11234,6.03,115.95,7.763E3,1.151E4,1.535E4,3.187E4,1.057E4,1.246E4,2.882E4,3.22E4,3.083E4,5.071E4,2.319E4,2.419E4,2.985E4,1.893E4,1.718E4,2.171E4,2.235E4,2.663E4,6.046E4,2.361E4,3.218E4,1.00,1.48,1.98,4.11,1.36,1.61,3.71,4.15,3.97,6.53,2.99,3.12,3.84,2.44,2.21,2.80,2.88,3.43,7.79,3.04,4.15,3.463E4,5.49E4,9.184E4,9.809E4,6.597E4,7.068E4,1.163E5,1.00,1.59,2.65,2.83,1.91,2.04,3.36,18,9,4,TMT10plex,23409,Ras-related protein Ral-B OS=Homo sapiens OX=9606 GN=RALB PE=1 SV=1
2954,2642,Q4G0F5,12.66,115.84,3.764E4,2.162E4,2.283E4,7.353E4,6.072E4,6.6E4,5.115E4,3.778E4,3.694E4,8.026E4,5.653E4,5.85E4,4.736E4,2.484E4,2.817E4,5.347E4,3.345E4,3.321E4,5.545E4,3.369E4,3.396E4,1.00,0.57,0.61,1.95,1.61,1.75,1.36,1.00,0.98,2.13,1.50,1.55,1.26,0.66,0.75,1.42,0.89,0.88,1.47,0.90,0.90,8.209E4,2.003E5,1.259E5,1.953E5,1.004E5,1.201E5,1.231E5,1.00,2.44,1.53,2.38,1.22,1.46,1.50,20,7,7,TMT10plex,39155,Vacuolar protein sorting-associated protein 26B OS=Homo sapiens OX=9606 GN=VPS26B PE=1 SV=2
2414,2772,P34896,5.67,115.83,3.909E4,2.731E3,0,4.367E4,6.277E3,1.412E3,6.274E4,8.601E3,1.744E3,6.303E4,9.569E3,4.87E3,4.325E4,4.016E3,1.898E3,4.449E4,4.646E3,1.038E3,4.437E4,1.054E4,5.066E3,1.00,0.07,0,1.12,0.16,0.04,1.61,0.22,0.04,1.61,0.24,0.12,1.11,0.10,0.05,1.14,0.12,0.03,1.14,0.27,0.13,4.182E4,5.135E4,7.309E4,7.747E4,4.916E4,5.017E4,5.998E4,1.00,1.23,1.75,1.85,1.18,1.20,1.43,7,8,3,TMT10plex; Carbamidomethylation,53083,Serine hydroxymethyltransferase  cytosolic OS=Homo sapiens OX=9606 GN=SHMT1 PE=1 SV=1
3016,2854,Q9HCU5,1.38,115.82,1E4,2.808E4,3.127E4,2.654E4,2.318E4,3.579E4,1.193E4,2.458E4,4.54E4,2.668E4,3.259E4,4.507E4,1.845E4,2.066E4,4.603E4,1.483E4,2.528E4,4.8E4,2.955E4,2.744E4,4.829E4,1.00,2.81,3.13,2.65,2.32,3.58,1.19,2.46,4.54,2.67,3.26,4.51,1.84,2.06,4.60,1.48,2.53,4.80,2.95,2.74,4.83,6.935E4,8.551E4,8.191E4,1.043E5,8.514E4,8.811E4,1.053E5,1.00,1.23,1.18,1.50,1.23,1.27,1.52,16,4,4,TMT10plex; Carbamidomethylation; Deamidation (NQ),45468,Prolactin regulatory element-binding protein OS=Homo sapiens OX=9606 GN=PREB PE=1 SV=2
2484,1857,Q15075,6.36,115.76,1.47E4,5.889E4,3.512E4,2.89E4,1.205E5,3.2E4,3.377E4,1.271E5,3.392E4,3.895E4,1.619E5,4.296E4,4.366E4,1.662E5,4.402E4,4.456E4,1.511E5,4.316E4,3.887E4,1.518E5,4.5E4,1.00,4.01,2.39,1.97,8.20,2.18,2.30,8.65,2.31,2.65,11.01,2.92,2.97,11.31,2.99,3.03,10.28,2.94,2.64,10.32,3.06,1.087E5,1.814E5,1.948E5,2.438E5,2.539E5,2.388E5,2.356E5,1.00,1.67,1.79,2.24,2.34,2.20,2.17,10,13,13,TMT10plex,162465,Early endosome antigen 1 OS=Homo sapiens OX=9606 GN=EEA1 PE=1 SV=2
1876,2409,Q9H4A6,24.84,115.74,5.885E4,1.042E5,7.386E4,1.027E5,1.019E5,1.061E5,1.278E5,1.754E5,1.566E5,2.451E5,2.381E5,2.597E5,1.898E5,2.222E5,2.524E5,1.827E5,2.393E5,2.36E5,1.71E5,1.779E5,1.773E5,1.00,1.77,1.26,1.75,1.73,1.80,2.17,2.98,2.66,4.17,4.05,4.41,3.23,3.78,4.29,3.10,4.07,4.01,2.91,3.02,3.01,2.369E5,3.107E5,4.598E5,7.429E5,6.644E5,6.579E5,5.263E5,1.00,1.31,1.94,3.14,2.80,2.78,2.22,28,10,9,TMT10plex; Carbamidomethylation; Deamidation (NQ),33811,Golgi phosphoprotein 3 OS=Homo sapiens OX=9606 GN=GOLPH3 PE=1 SV=1
2454,1913,Q7Z2Z2,12.77,115.72,4.08E4,2.6E4,2.493E4,9.806E4,6.646E4,6.024E4,9.145E4,5.692E4,4.22E4,1.54E5,9.9E4,8.457E4,9.066E4,6.183E4,4.793E4,8.07E4,5.374E4,4.628E4,1.267E5,7.641E4,7.259E4,1.00,0.64,0.61,2.40,1.63,1.48,2.24,1.40,1.03,3.77,2.43,2.07,2.22,1.52,1.17,1.98,1.32,1.13,3.11,1.87,1.78,9.173E4,2.248E5,1.906E5,3.375E5,2.004E5,1.807E5,2.757E5,1.00,2.45,2.08,3.68,2.18,1.97,3.01,9,10,9,TMT10plex,125430,Elongation factor-like GTPase 1 OS=Homo sapiens OX=9606 GN=EFL1 PE=1 SV=2
2618,2190,Q6ZS81,6.95,115.70,2.252E4,2.359E4,2.257E4,2.614E4,4.066E4,2.681E4,3.339E4,4.014E4,2.94E4,3.743E4,4.53E4,3.201E4,2.811E4,3.184E4,2.62E4,2.687E4,3.235E4,2.427E4,1.992E4,2.932E4,2.039E4,1.00,1.05,1.00,1.16,1.81,1.19,1.48,1.78,1.31,1.66,2.01,1.42,1.25,1.41,1.16,1.19,1.44,1.08,0.88,1.30,0.91,6.869E4,9.361E4,1.029E5,1.147E5,8.615E4,8.349E4,6.963E4,1.00,1.36,1.50,1.67,1.25,1.22,1.01,3,8,7,TMT10plex,353610,WD repeat- and FYVE domain-containing protein 4 OS=Homo sapiens OX=9606 GN=WDFY4 PE=1 SV=3
